type,topic,source,title,body,tag,payload
fact,Interview Prep,llm,"Sift up and sift down","Insertion appends at the end and sifts up, swapping with the parent while it violates the heap property. Extraction moves the last element to the root and sifts down, swapping with the smaller child. Both walk one path of height log n.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Build-heap is O(n)","Building a heap from n items by inserting one at a time is O(n log n) — but heapifying in place, sifting down from the last parent backwards, is O(n). Most nodes sit near the bottom with tiny sift distances, and the level-weighted sum converges to linear.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Where O(n) build matters","The linear build shows up in heapsort's first phase and any solve that starts with heapify everything. Quoting build-heap as O(n) instead of O(n log n) is a small correctness detail interviewers genuinely notice.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Heapify cost","What is the time complexity of building a heap from an unsorted array of n elements using bottom-up heapify?","Heaps & Priority Queues","{""options"": [""O(n)"", ""O(n log n)"", ""O(log n)"", ""O(n squared)""], ""correct"": ""O(n)"", ""explain"": ""Sift-down work is proportional to node height, and most nodes are near the leaves with height near zero — the weighted sum across levels is bounded by O(n).""}"
fact,Interview Prep,llm,"Min vs max heap","A min-heap surfaces the smallest element; a max-heap the largest. The counterintuitive pairing: keep the k LARGEST items with a MIN-heap of size k — the root is the weakest member, evicted whenever something bigger arrives.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Faking a max-heap","Python heapq is min-only: push negated values and negate again on pop, or push tuples with a negated priority first. Java and C++ accept a comparator instead. Doing this smoothly, without ceremony, is a fluency tell.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Tuples as heap entries","Heaps compare whole entries, so push tuples with the priority first: (distance, node) for Dijkstra, (count, char) for frequency problems. Watch for ties — if second elements are not comparable, add a tiebreaker index.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: K largest, which heap","To maintain the k largest elements of a stream, which heap do you keep at size k?","Heaps & Priority Queues","{""options"": [""A max-heap"", ""A min-heap"", ""Two heaps"", ""A sorted array""], ""correct"": ""A min-heap"", ""explain"": ""The min-heap root is the smallest of your current top k — the element on the chopping block. If a newcomer beats it, pop and push; otherwise ignore.""}"
fact,Interview Prep,llm,"Top-K pattern","Top k of n elements: keep a size-k heap and stream everything through it — O(n log k), much better than sorting at O(n log n) when k is small. Works for k largest numbers, k most frequent words, k closest points to origin.","Heaps & Priority Queues",
fact,Interview Prep,llm,"K most frequent","K most frequent elements is a two-step: build a frequency map, then heap the (count, item) pairs — size-k min-heap for O(n log k). Bucket sort by count achieves O(n) if the interviewer pushes past the heap answer.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Say the log k","The point of the size-k heap is that operations cost log k, not log n. Saying O(n log k) — and noting it beats sorting when k is much smaller than n — is precisely the complexity nuance top-K questions exist to test.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Top-K complexity","What does finding the k largest of n elements cost with a size-k min-heap?","Heaps & Priority Queues","{""options"": [""O(n log n)"", ""O(n log k)"", ""O(k log n)"", ""O(n + k)""], ""correct"": ""O(n log k)"", ""explain"": ""Each of the n elements does at most one push and pop on a heap that never exceeds k entries, so each operation is O(log k).""}"
fact,Interview Prep,llm,"Kth largest, two ways","Kth largest element: a size-k min-heap gives O(n log k) guaranteed; quickselect gives O(n) average but O(n squared) worst case. Presenting both and letting the interviewer pick the trade-off is the strongest move.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Quickselect in one line","Quickselect partitions like quicksort but recurses into only the side containing the kth position, halving expected work each round: n + n/2 + n/4 + ... = O(n) average. Random pivots make the worst case vanishingly unlikely.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Which to pick when","Streaming input or need the top k continuously? Heap. One-shot query on an array you may mutate? Quickselect. Guaranteed worst-case bound demanded? Heap again, or mention median-of-medians exists and move on.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Quickselect average","What is quickselect's average time complexity for the kth largest element?","Heaps & Priority Queues","{""options"": [""O(n)"", ""O(n log n)"", ""O(k log n)"", ""O(log n)""], ""correct"": ""O(n)"", ""explain"": ""Each partition discards one side, so expected work is a geometric series n + n/2 + n/4 + ... which sums to O(n). The worst case is O(n squared) with bad pivots.""}"
fact,Interview Prep,llm,"Median of a stream","Find median from a data stream: a max-heap holds the lower half, a min-heap the upper half. The median is a root (or the average of both roots). This two-heap split is one of the most-asked heap designs at Google.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Keeping the halves balanced","The invariant: sizes differ by at most one, and every lower-half element is at most every upper-half element. Standard insert: push onto one heap, pop its root onto the other, then rebalance sizes if needed — three O(log n) steps, no case analysis.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Two heaps beyond medians","The pattern generalizes to any running percentile and to problems needing both the max of one group and the min of another simultaneously — like sliding window median, which adds lazy deletion on top.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Stream median layout","In the two-heap median design, which heap holds which half of the data?","Heaps & Priority Queues","{""options"": [""Min-heap lower half, max-heap upper half"", ""Max-heap lower half, min-heap upper half"", ""Both max-heaps"", ""Both min-heaps""], ""correct"": ""Max-heap lower half, min-heap upper half"", ""explain"": ""You need instant access to the LARGEST of the small half and the SMALLEST of the large half — the two values adjacent to the median — so the heaps face each other.""}"
fact,Interview Prep,llm,"K-way merge","Merge k sorted lists with a min-heap of each list's current head: pop the smallest overall, append it to the output, push that list's next element. Every element passes through the heap once: O(n log k) for n total elements.","Heaps & Priority Queues",
fact,Interview Prep,llm,"What goes in the heap entry","Push (value, listIndex, elementIndex) so a popped entry knows where its successor lives. In Java, a comparator on the node value lets you push list nodes directly. Forgetting the successor bookkeeping is the common stumble.","Heaps & Priority Queues",
fact,Interview Prep,llm,"K-way merge in disguise","Kth smallest in a sorted matrix, smallest range covering k lists, and ugly numbers are all k-way merges: several sorted streams, repeatedly take the global minimum. If sorted sequences must interleave, think heap of heads.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Merging k lists","What is the complexity of merging k sorted lists totaling n elements using a min-heap?","Heaps & Priority Queues","{""options"": [""O(n log k)"", ""O(n log n)"", ""O(nk)"", ""O(k log n)""], ""correct"": ""O(n log k)"", ""explain"": ""The heap only ever holds one head per list — k entries — so each of the n elements pays O(log k) to pass through.""}"
fact,Interview Prep,llm,"Meeting rooms II","Minimum meeting rooms: sort intervals by start, keep a min-heap of end times. For each meeting, if the earliest-ending room frees up before it starts, pop; always push the new end. The heap's peak size is the answer.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Task scheduler thinking","Task scheduler with cooldowns pairs a max-heap of remaining counts with a cooldown queue: greedily run the most frequent available task, park it until its cooldown expires, re-add it. Heap picks the best now; queue enforces the constraint.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Greedy plus heap","The general shape: a greedy strategy needs the current best candidate at every step, and a heap serves it in O(log n). CPU scheduling, connect ropes with minimum cost, and furthest building via ladders all follow this template.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Meeting rooms heap","In meeting rooms II, what does the min-heap store?","Heaps & Priority Queues","{""options"": [""Meeting start times"", ""Meeting end times of occupied rooms"", ""Meeting durations"", ""Room numbers""], ""correct"": ""Meeting end times of occupied rooms"", ""explain"": ""The root is the room that frees earliest. If the next meeting starts after that end time, reuse the room (pop); otherwise a new room is needed. Peak heap size is the answer.""}"
fact,Interview Prep,llm,"Lazy deletion","Heaps cannot delete arbitrary elements efficiently — so do not. Mark entries invalid in a side map (or rely on stale values) and discard them when they surface at the root: while the top is outdated, pop. Cost amortizes to nothing extra.","Heaps & Priority Queues",
fact,Interview Prep,llm,"Where lazy deletion appears","Sliding window median evicts elements that left the window lazily; Dijkstra pushes duplicate entries when a node's distance improves and skips stale ones on pop. Both avoid the O(n) search a true heap delete would need.","Heaps & Priority Queues",
fact,Interview Prep,llm,"The skip-on-pop guard","The implementation is one guard clause: on pop, if the entry is stale — marked deleted, or worse than the recorded best — continue. State the invariant that the root is always valid after the purge loop, and the interviewer relaxes.","Heaps & Priority Queues",
quiz,Interview Prep,llm,"Quiz: Stale heap entries","In Dijkstra with a binary heap, a node is popped with a distance larger than its recorded best. What do you do?","Heaps & Priority Queues","{""options"": [""Update the graph"", ""Skip it and continue"", ""Re-push it"", ""Terminate the algorithm""], ""correct"": ""Skip it and continue"", ""explain"": ""It is a stale duplicate from before a better path was found. Lazy deletion means duplicates are allowed in; the skip guard keeps them from doing harm.""}"
fact,Interview Prep,llm,"Adjacency list vs matrix","An adjacency list maps each node to its neighbors: O(V + E) space, perfect for sparse graphs, and iterating neighbors is proportional to degree. An adjacency matrix costs O(V squared) space but answers is there an edge in O(1). Interviews default to lists.","Graphs",
fact,Interview Prep,llm,"Building the graph is step one","Most graph problems hand you an edge list — pairs like (u, v) — and your first coding act is converting it into an adjacency list with a map of node to neighbor list. For undirected graphs, add the edge both ways. Two minutes, easy to fumble under pressure.","Graphs",
fact,Interview Prep,llm,"Choosing a representation","Dense graph or constant edge-existence checks: matrix. Sparse graph and neighbor iteration — which is nearly every interview problem: list. Algorithms that only relax all edges, like Bellman-Ford, can work straight off the edge list.","Graphs",
quiz,Interview Prep,llm,"Quiz: Sparse graph storage","Which representation stores a sparse graph of V nodes and E edges most efficiently?","Graphs","{""options"": [""Adjacency matrix"", ""Adjacency list"", ""A 2D boolean grid"", ""A hash of all paths""], ""correct"": ""Adjacency list"", ""explain"": ""Lists take O(V + E) space and make neighbor iteration proportional to actual degree. A matrix burns O(V squared) regardless of how few edges exist.""}"
fact,Interview Prep,llm,"Directed vs undirected","An undirected edge is friendship — both ways; a directed edge is following — one way. It changes everything downstream: cycle detection logic, whether components mean connected or strongly connected, and whether you add edges once or twice while building.","Graphs",
fact,Interview Prep,llm,"Weighted vs unweighted","Unweighted shortest paths are BFS. Add weights and BFS breaks — you need Dijkstra. Negative weights break Dijkstra — you need Bellman-Ford. This escalation ladder is one of the most reliable interview follow-up sequences; know your next rung.","Graphs",
fact,Interview Prep,llm,"DAGs are special","A directed acyclic graph admits a topological order, which unlocks linear-time DP over the graph and makes shortest paths solvable without Dijkstra. When you prove a graph has no cycles, say the word DAG — it signals the whole toolkit.","Graphs",
quiz,Interview Prep,llm,"Quiz: The escalation ladder","Shortest path in a graph with positive edge weights — which algorithm?","Graphs","{""options"": [""BFS"", ""Dijkstra"", ""DFS"", ""Union-Find""], ""correct"": ""Dijkstra"", ""explain"": ""BFS counts hops, so it only works unweighted. Dijkstra greedily settles the closest unsettled node and is correct for non-negative weights; negatives escalate to Bellman-Ford.""}"
fact,Interview Prep,llm,"BFS mechanics","BFS: seed a queue, and loop — pop a node, process it, enqueue unvisited neighbors, marking them visited AS you enqueue. Marking on enqueue rather than on pop prevents the same node entering the queue twice.","Graphs",
fact,Interview Prep,llm,"BFS finds shortest unweighted paths","BFS explores in rings of increasing distance, so the first time it reaches a node is via a shortest path — in edge count. Track distance by level or store it beside each node. Any shortest-path question on an unweighted graph or grid is BFS, full stop.","Graphs",
fact,Interview Prep,llm,"Multi-source BFS","Seed the queue with ALL sources at distance zero and run normal BFS: every node gets its distance to the nearest source in one pass. Rotting oranges, walls and gates, and nearest-exit problems are multi-source BFS wearing costumes.","Graphs",
quiz,Interview Prep,llm,"Quiz: Mark on enqueue","In BFS, why mark a node visited when it is enqueued rather than when it is popped?","Graphs","{""options"": [""It is faster to write"", ""It prevents the node being enqueued multiple times"", ""It changes the traversal order"", ""It saves memory on the visited set""], ""correct"": ""It prevents the node being enqueued multiple times"", ""explain"": ""Two neighbors can both discover an unmarked node before either copy is popped, bloating the queue and double-processing. Marking at enqueue closes that window.""}"
fact,Interview Prep,llm,"DFS two ways","Recursive DFS: visit, mark, recurse on unvisited neighbors — the call stack does the bookkeeping. Iterative DFS swaps BFS's queue for an explicit stack. Recursion is cleaner; mention stack depth if the graph could be huge or degenerate.","Graphs",
fact,Interview Prep,llm,"Pre and post visitation","Work done when first entering a node is pre-order; work done after all its descendants finish is post-order. Post-order is where the power is: finish times drive topological sort, and children-first computation drives DP on graphs and trees.","Graphs",
fact,Interview Prep,llm,"BFS or DFS","Both traverse everything in O(V + E). BFS when distance or nearest matters. DFS for exhaustive exploration, cycle detection, topological sort, and anything backtracking-shaped. If either works, say so and pick the one you write fastest.","Graphs",
quiz,Interview Prep,llm,"Quiz: Traversal cost","What is the time complexity of BFS or DFS on an adjacency-list graph with V nodes and E edges?","Graphs","{""options"": [""O(V + E)"", ""O(V times E)"", ""O(V squared)"", ""O(E log V)""], ""correct"": ""O(V + E)"", ""explain"": ""Each node is processed once and each edge examined a constant number of times. With a matrix representation it would be O(V squared) — worth mentioning.""}"
fact,Interview Prep,llm,"Grids are graphs","Any grid is an implicit graph: cells are nodes, and the 4-directional neighbors are edges you compute on the fly instead of storing. Every BFS and DFS technique applies verbatim — visited sets, distances, components.","Graphs",
fact,Interview Prep,llm,"State-space graphs","Word ladder, lock combinations, and sliding puzzles are graphs where nodes are STATES and edges are legal moves. Shortest transformation means BFS over states. The skill is recognizing an implicit graph in a problem that never says the word graph.","Graphs",
fact,Interview Prep,llm,"Neighbors as a function","In implicit graphs, write a neighbors(state) generator: for grids, apply the four direction offsets and bounds-check; for word ladder, mutate each position through the alphabet and keep dictionary hits. Traversal code stays identical.","Graphs",
quiz,Interview Prep,llm,"Quiz: Word ladder","Finding the shortest transformation sequence between two words, changing one letter at a time through a dictionary, is really what?","Graphs","{""options"": [""Dynamic programming"", ""BFS on an implicit state graph"", ""A trie search"", ""Topological sort""], ""correct"": ""BFS on an implicit state graph"", ""explain"": ""Words are nodes, single-letter changes are edges, and shortest sequence means fewest edges — the defining use case for BFS. The graph is never built explicitly.""}"
fact,Interview Prep,llm,"Number of islands","Number of islands: scan the grid; on each unvisited land cell, increment the count and flood-fill its whole island with DFS or BFS so it is never counted again. O(rows times cols) — each cell enters a traversal once.","Graphs",
fact,Interview Prep,llm,"Flood fill and marking in place","Flood fill spreads from a seed to connected same-valued cells. Trick of the trade: mark visited by mutating the grid — sink islands by setting land to water — saving a separate visited set. Ask the interviewer if mutation is acceptable first.","Graphs",
fact,Interview Prep,llm,"The grid problem family","Rotting oranges is multi-source BFS with time as depth. Walls and gates is multi-source BFS from gates. Surrounded regions flips the trick — flood from the BORDER to find what survives. Pacific-Atlantic floods inward from two oceans. Same engine, different seeds.","Graphs",
quiz,Interview Prep,llm,"Quiz: Counting islands","In number of islands, what guarantees each island is counted exactly once?","Graphs","{""options"": [""Sorting the grid first"", ""Flood-filling the entire island when first touched"", ""Checking all 8 neighbors"", ""Counting land cells and dividing""], ""correct"": ""Flood-filling the entire island when first touched"", ""explain"": ""The fill marks every cell of the island visited, so later scan positions inside it are skipped. Count increments only on first contact with each component.""}"
fact,Interview Prep,llm,"Connected components","Count components in an undirected graph: loop every node, and each time you find an unvisited one, increment the count and traverse its entire component. Same skeleton as islands — the grid version and graph version are one pattern.","Graphs",
fact,Interview Prep,llm,"Labeling components","Assign each node a component id during traversal and same-component queries become O(1) lookups afterward. This precompute-then-query structure answers can u reach v many times without re-traversing.","Graphs",
fact,Interview Prep,llm,"Union-Find does it too","Union-Find counts components without traversal: start with n components, union each edge, decrement when two roots merge. It is the better fit when edges arrive over time — dynamic connectivity — while DFS suits a static snapshot.","Graphs",
quiz,Interview Prep,llm,"Quiz: Component counting","Edges arrive one at a time and after each you must report the number of connected components. Best tool?","Graphs","{""options"": [""Rerun DFS each time"", ""Union-Find"", ""Topological sort"", ""Dijkstra""], ""correct"": ""Union-Find"", ""explain"": ""Union-Find handles incremental edge additions in near-O(1) amortized per union, decrementing a component counter on merges. Re-running DFS per edge would be O(E times (V+E)).""}"
fact,Interview Prep,llm,"Cycles in undirected graphs","DFS an undirected graph tracking each node's parent: meeting a visited neighbor that is NOT your parent means a cycle. The parent exception matters — the edge you just walked in on is not a cycle. Union-Find alternative: an edge whose endpoints already share a root closes a cycle.","Graphs",
fact,Interview Prep,llm,"Cycles in directed graphs","Directed cycles need three colors: white unvisited, gray in the current recursion stack, black finished. Reaching a GRAY node means a back edge — a cycle. Reaching a black node is fine: that is a completed branch, not a loop.","Graphs",
fact,Interview Prep,llm,"Why the difference","In directed graphs the parent trick fails because a two-node cycle u to v to u is legal and real. The gray state encodes am I currently on the path from the root — exactly what a directed back edge violates. Explaining WHY earns more than reciting the method.","Graphs",
quiz,Interview Prep,llm,"Quiz: Gray means cycle","During directed-graph DFS with white, gray, and black states, hitting which state signals a cycle?","Graphs","{""options"": [""White"", ""Gray"", ""Black"", ""Any visited state""], ""correct"": ""Gray"", ""explain"": ""Gray nodes are on the current recursion path, so an edge into one loops back onto your own path — a back edge. Black nodes are finished and safe to re-reach.""}"
fact,Interview Prep,llm,"Kahn's algorithm","Topological sort by BFS: compute every node's in-degree, enqueue all zero-in-degree nodes, and repeatedly pop one into the order while decrementing its neighbors' in-degrees — enqueueing any that hit zero. Fewer nodes output than exist means a cycle.","Graphs",
fact,Interview Prep,llm,"DFS topological sort","The DFS version: run DFS and push each node onto a stack as it FINISHES; popping the stack yields a topological order. It works because a node finishes only after everything it points to — its finish time proves its prerequisites-completed status.","Graphs",
fact,Interview Prep,llm,"Course schedule family","Course schedule I asks can you finish — cycle detection. Course schedule II asks for an order — the topological sort itself. Alien dictionary derives edge constraints from word comparisons first, then toposorts. Prerequisite language in a problem means build a DAG.","Graphs",
quiz,Interview Prep,llm,"Quiz: Kahn's cycle check","Running Kahn's algorithm, the output order contains fewer nodes than the graph. What does that prove?","Graphs","{""options"": [""The graph is disconnected"", ""The graph contains a cycle"", ""The graph is undirected"", ""Nothing — rerun it""], ""correct"": ""The graph contains a cycle"", ""explain"": ""Nodes in a cycle never reach in-degree zero — each waits on another — so they never enqueue. A complete output is exactly the certificate that the graph is a DAG.""}"
fact,Interview Prep,llm,"Union-Find in four lines","Union-Find tracks disjoint sets with a parent array. Find follows parents to the root; union links one root under the other. It answers are these two connected in effectively constant time — the dynamic connectivity workhorse.","Graphs",
fact,Interview Prep,llm,"The two optimizations","Path compression points every node on a find path directly at the root; union by rank or size hangs the shorter tree under the taller. Together they make operations amortized inverse-Ackermann — say effectively O(1) and note the function grows slower than log.","Graphs",
fact,Interview Prep,llm,"Union-Find applications","Redundant connection (the edge that closes a cycle), accounts merge, number of provinces, and Kruskal's MST all reduce to union and find. Grid variants map cell (r, c) to id r times cols plus c. If a problem merges groups incrementally, this is the tool.","Graphs",
quiz,Interview Prep,llm,"Quiz: Path compression","What does path compression do during a find operation?","Graphs","{""options"": [""Deletes redundant edges"", ""Points every traversed node directly at the root"", ""Sorts the parent array"", ""Merges two sets""], ""correct"": ""Points every traversed node directly at the root"", ""explain"": ""Flattening the chain makes future finds on those nodes one hop. Combined with union by rank, operations become amortized near-constant.""}"
fact,Interview Prep,llm,"Dijkstra's loop","Dijkstra with a min-heap: pop the unsettled node with smallest tentative distance, settle it, and relax its edges — push (newDist, neighbor) whenever a shorter path is found. With lazy deletion of stale entries it runs in O(E log V).","Graphs",
fact,Interview Prep,llm,"Why no negative edges","Dijkstra's correctness rests on a settled node never improving — true only when all edges are non-negative, so any detour costs extra. A negative edge could undercut a settled distance later. Bellman-Ford tolerates negatives at O(V times E) by relaxing all edges V minus 1 rounds.","Graphs",
fact,Interview Prep,llm,"0-1 BFS","When every edge weighs zero or one, a deque replaces the heap: push zero-weight discoveries to the FRONT and one-weight to the back. Distances stay sorted in the deque and the run is O(V + E). Awareness level — name it if weights are binary.","Graphs",
quiz,Interview Prep,llm,"Quiz: Dijkstra's prerequisite","Which condition must edge weights satisfy for Dijkstra's algorithm to be correct?","Graphs","{""options"": [""All weights equal"", ""Non-negative weights"", ""Integer weights"", ""Weights below V""], ""correct"": ""Non-negative weights"", ""explain"": ""The greedy settle step assumes no future path can undercut a settled node, which negative edges violate. With negatives, use Bellman-Ford.""}"
fact,Interview Prep,llm,"Minimum spanning trees","An MST connects all nodes with minimum total edge weight and no cycles. Prim's grows one tree greedily with a heap of frontier edges; Kruskal's sorts all edges and adds any that join two different Union-Find components. Awareness level: know both names and mechanics.","Graphs",
fact,Interview Prep,llm,"Kruskal plus Union-Find","Kruskal is the cleaner interview implementation: sort edges ascending, iterate, union endpoints, keep edges whose endpoints were in different sets. O(E log E). Min cost to connect all points is this exact algorithm on implicit distance edges.","Graphs",
fact,Interview Prep,llm,"MST vs shortest path","An MST minimizes TOTAL connection weight; shortest-path trees minimize distance from a source. They differ — an MST path between two nodes can be longer than their shortest path. Confusing them is a known trap question.","Graphs",
quiz,Interview Prep,llm,"Quiz: Kruskal's guard","In Kruskal's algorithm, when is a candidate edge rejected?","Graphs","{""options"": [""When it is the heaviest edge"", ""When its endpoints already share a component"", ""When it touches a leaf"", ""When the heap is empty""], ""correct"": ""When its endpoints already share a component"", ""explain"": ""Connecting two nodes already in the same Union-Find set would close a cycle. Accepting only cross-component edges keeps the growing forest a tree.""}"
fact,Interview Prep,llm,"Bipartite checking","A graph is bipartite when nodes split into two groups with every edge crossing between them. Test by 2-coloring: BFS or DFS, alternating colors along edges; any edge joining two same-colored nodes kills bipartiteness. Run from every component.","Graphs",
fact,Interview Prep,llm,"Odd cycles are the obstruction","A graph is bipartite exactly when it has no odd-length cycle — alternating two colors around an odd loop must collide. That theorem is the one-line justification for why 2-coloring works.","Graphs",
fact,Interview Prep,llm,"Bipartite in disguise","Is graph bipartite is the literal version; possible bipartition of people who dislike each other is the same 2-coloring with edges meaning must differ. Any can these be split into two conflict-free groups question should trigger the pattern.","Graphs",
quiz,Interview Prep,llm,"Quiz: Bipartite failure","During 2-coloring BFS, what observation proves a graph is NOT bipartite?","Graphs","{""options"": [""A node with odd degree"", ""An edge between two same-colored nodes"", ""A disconnected component"", ""A node with no edges""], ""correct"": ""An edge between two same-colored nodes"", ""explain"": ""Bipartite means every edge crosses the partition. A monochromatic edge means the alternating assignment failed — equivalently, an odd cycle exists.""}"
fact,Interview Prep,llm,"Bridges and articulation points","A bridge is an edge whose removal disconnects the graph; an articulation point is such a node. Tarjan's DFS finds them by comparing discovery times with low-link values — the earliest node reachable through the subtree. Awareness level for Google.","Graphs",
fact,Interview Prep,llm,"The low-link intuition","A child subtree that cannot reach back above its parent — its low-link is not smaller than the parent's discovery time — depends entirely on that connection: cutting it isolates the subtree. That one sentence is the entire intuition to retain.","Graphs",
fact,Interview Prep,llm,"Where it shows up","Critical connections in a network — find the cables whose failure splits the network — is the bridges problem verbatim, and a real Google-style question. Recognize it, name Tarjan, state O(V + E), and sketch the low-link idea.","Graphs",
quiz,Interview Prep,llm,"Quiz: Bridge definition","What makes an edge a bridge in a connected undirected graph?","Graphs","{""options"": [""It carries maximum weight"", ""Removing it disconnects the graph"", ""It belongs to a cycle"", ""It touches the root""], ""correct"": ""Removing it disconnects the graph"", ""explain"": ""A bridge is the only path between its two sides — no cycle offers an alternate route. Edges inside cycles are never bridges.""}"
fact,Interview Prep,llm,"Cloning a graph","Clone graph: traverse from the given node with a hash map from original to copy. On visiting a node, create its clone if absent, then wire clone neighbor lists recursively. The map is simultaneously the visited set and the wiring table.","Graphs",
fact,Interview Prep,llm,"Why the map prevents infinite loops","Graphs have cycles, so cloning without checking the map would recurse forever. Check the map FIRST — if a clone exists, return it immediately. This is copy list with random pointer generalized from a line to an arbitrary shape.","Graphs",
fact,Interview Prep,llm,"Serializing graphs","Graphs serialize as edge lists or adjacency maps with explicit node ids — unlike trees, structure alone does not identify nodes, and cycles forbid naive recursive output. If asked, propose the id-plus-edge-list format and note that assumption.","Graphs",
quiz,Interview Prep,llm,"Quiz: Clone graph's map","In clone graph, the original-to-copy hash map serves which two roles at once?","Graphs","{""options"": [""Sorting and searching"", ""Visited tracking and clone lookup"", ""Weighting and pruning"", ""Coloring and counting""], ""correct"": ""Visited tracking and clone lookup"", ""explain"": ""A key's presence means the node was already cloned (visited), and the value hands you the copy to wire into neighbor lists — one structure, both jobs.""}"
fact,Interview Prep,llm,"A* in one sentence","A* is Dijkstra plus a heuristic: the priority becomes distance so far PLUS an estimate to the goal, steering the search toward the target instead of expanding in all directions. Awareness level — no one codes it in 45 minutes.","Graphs",
fact,Interview Prep,llm,"Admissible heuristics","A* stays optimal when its heuristic never OVERESTIMATES the true remaining cost — called admissible. Grid pathfinding uses Manhattan distance for 4-directional movement. Overestimate and A* can return a wrong, non-shortest path.","Graphs",
fact,Interview Prep,llm,"When to mention A*","If an interviewer extends a grid shortest-path solution with the goal position is known — can you search smarter, the expected answer is A* with Manhattan distance. One sentence of what and why suffices; then relate it back to your Dijkstra code.","Graphs",
quiz,Interview Prep,llm,"Quiz: A* priority","What quantity does A* use to order its priority queue?","Graphs","{""options"": [""Distance from the start only"", ""Estimated distance to the goal only"", ""Distance so far plus a heuristic estimate to the goal"", ""Node degree""], ""correct"": ""Distance so far plus a heuristic estimate to the goal"", ""explain"": ""The g plus h score biases expansion toward the goal while still accounting for the path already paid — Dijkstra is the special case where h is zero.""}"
fact,Interview Prep,llm,"LRU as a design question","Design an LRU cache is a Google staple: O(1) get and put via a hash map into a doubly linked list ordered by recency — evict from the tail at capacity. Practice writing it end to end in under 15 minutes, with dummy head and tail sentinels.","Advanced Structures",
fact,Interview Prep,llm,"The API contract","Nail the semantics before coding: get returns the value and refreshes recency; put inserts or updates, also refreshing recency, then evicts the least recent if over capacity. Half of failed LRU attempts forget that get itself counts as a use.","Advanced Structures",
fact,Interview Prep,llm,"Language shortcuts and honesty","Java's LinkedHashMap and Python's OrderedDict implement LRU almost for free — and interviewers know. The safe move: mention the shortcut exists, then offer to build it from primitives. The question is testing the internals, so expect to write them.","Advanced Structures",
quiz,Interview Prep,llm,"Quiz: LRU eviction","An LRU cache at capacity receives a put for a new key. Which entry is evicted?","Advanced Structures","{""options"": [""The newest entry"", ""The least recently used entry"", ""A random entry"", ""The largest value""], ""correct"": ""The least recently used entry"", ""explain"": ""LRU bets that recently touched data will be touched again. The doubly linked list's tail node is by construction the least recently used — remove it and its map key.""}"
fact,Interview Prep,llm,"LFU in one breath","LFU evicts the LEAST FREQUENTLY used key, breaking ties by recency. The O(1) design keeps buckets of keys per frequency count — each bucket an ordered list — plus a pointer to the minimum frequency. Awareness level: know the idea, not every edge case.","Advanced Structures",
fact,Interview Prep,llm,"LFU vs LRU behavior","LRU forgets popularity instantly — one burst of new keys evicts an old favorite. LFU protects frequently used keys but is slow to evict formerly-hot items. Naming that behavioral trade-off matters more in interviews than LFU implementation detail.","Advanced Structures",
fact,Interview Prep,llm,"The min-frequency pointer","The subtle part of O(1) LFU: track the current minimum frequency. It only ever resets to one on a brand-new insert, or increments when the last key at that level moves up — it never needs a search. That observation is the entire trick.","Advanced Structures",
quiz,Interview Prep,llm,"Quiz: LFU tiebreak","Two keys tie at the lowest use frequency in an LFU cache. Which is evicted?","Advanced Structures","{""options"": [""The least recently used of the two"", ""The most recently used"", ""The one with the larger value"", ""Both""], ""correct"": ""The least recently used of the two"", ""explain"": ""Standard LFU breaks frequency ties by recency — each frequency bucket keeps insertion order so its oldest entry evicts first. LFU degrades to LRU within a bucket.""}"
fact,Interview Prep,llm,"Bloom filters","A Bloom filter answers set membership in tiny space: k hash functions set k bits per inserted item; a query checks those bits. It can say definitely not present or probably present — false positives possible, false negatives impossible.","Advanced Structures",
fact,Interview Prep,llm,"Why the asymmetry","A zero bit proves the item was never inserted — insertion would have set it. All-ones can be coincidence from other items' bits, hence false positives. Deletions are unsupported for the same reason: clearing a bit could erase evidence of other items.","Advanced Structures",
fact,Interview Prep,llm,"Where Bloom filters live","Real systems use them as cheap gatekeepers: has this URL been crawled, is this key possibly in this database file (LSM trees), is this password in a breach list. In system design answers, a Bloom filter before an expensive lookup is a strong flourish.","Advanced Structures",
